Attrition,EmployeeName,EmployeeID,Designation,PercentSalaryHike,TraininginHours,WorkLifeBalance,Tenure,MonthlySalary,,,,,,,,
NO,Honey-IV,101782,Data Engineer,6,58.5,Good,6," 43,620 ",,,,,,,,
NO,Belinda-IV,101783,Data Engineer,12,117,Good,2," 38,256 ",,,,,,,,
YES,Patrick-IV,101794,Database Administrator,8,78,Bad,11," 47,969 ",,,,,,,,
NO,Rosie-IV,101789,Chief Data Scientist,12,58.5,Good,3," 227,743 ",,,,,,,,
NO,Fiona-IV,101790,Domain Expert,8,19.5,Good,13," 98,048 ",,,,,,,,
NO,Deanna-IV,101797,Data Engineer,12,39,Best,11," 68,495 ",,,,,,,,
NO,Edith-IV,101809,Data Scientist,10,78,Bad,4," 59,643 ",,,,,,,,
YES,Clark-IV,101880,Business Analyst,8,78,Good,11," 66,846 ",,,,,,,,
NO,Gianna-IV,101798,Data Analyst,14,19.5,Good,11," 47,034 ",,,,,,,,
NO,Wilson-IV,101800,Chief Data Scientist,16,58.5,Good,5," 158,648 ",,,,,,,,
NO,Sarah-IV,101801,Business Analyst,10,58.5,Good,3," 94,159 ",,,,,,,,
YES,Alina-IV,100100,Business Analyst,8,39,Good,12," 54,429 ",,,,,,,,
NO,Mary-IV,101803,Domain Expert,12,39,Bad,1," 65,255 ",,,,,,,,
YES,Kellan-IV,100131,Business Analyst,8,19.5,Bad,12," 57,492 ",,,,,,,,
NO,Albert-IV,100153,Data Scientist,10,117,Good,3," 76,534 ",,,,,,,,
NO,Tess-IV,100312,Data Engineer,8,97.5,Best,12," 90,060 ",,,,,,,,
NO,Alen-IV,101814,Domain Expert,6,58.5,Bad,4," 80,949 ",,,,,,,,
NO,Amelia-IV,101816,Data Scientist,8,58.5,Good,8," 113,907 ",,,,,,,,
NO,Alexia-IV,101821,Domain Expert,16,39,Best,10," 105,175 ",,,,,,,,
NO,Joyce-IV,101822,Domain Expert,12,58.5,Good,6," 76,743 ",,,,,,,,
NO,Lucas-IV,101823,Business Analyst,16,97.5,Good,11," 80,113 ",,,,,,,,
NO,Penelope-IV,101826,Data Engineer,10,39,Best,6," 31,874 ",,,,,,,,
NO,Chester-IV,101827,Data Scientist,6,78,Good,23," 121,755 ",,,,,,,,
NO,Alexia-IV,101830,Data Scientist,10,39,Bad,8," 80,762 ",,,,,,,,
NO,Rafael-IV,101834,Data Analyst,20,58.5,Good,4," 42,314 ",,,,,,,,
YES,Tony-IV,100420,Business Analyst,8,58.5,Bad,12," 64,619 ",,,,,,,,
NO,Kellan-IV,101837,Chief Data Scientist,8,58.5,Good,3," 186,020 ",,,,,,,,
NO,Carlos-IV,101845,Business Analyst,16,58.5,Best,9," 60,730 ",,,,,,,,
NO,Maya-IV,101847,Data Scientist,16,39,Good,2," 82,034 ",,,,,,,,
NO,Chloe-IV,101849,Business Analyst,14,97.5,Good,8," 66,869 ",,,,,,,,
NO,Carlos-IV,101852,Data Engineer,8,58.5,Best,9," 44,918 ",,,,,,,,
NO,Alfred-IV,100571,Data Engineer,8,39,Bad,12," 53,781 ",,,,,,,,
NO,Emma-IV,101857,Data Scientist,8,78,Bad,10," 101,075 ",,,,,,,,
NO,Tara-IV,101859,Domain Expert,12,58.5,Good,8," 75,224 ",,,,,,,,
NO,Paige-IV,101860,Data Engineer,8,58.5,Good,1," 46,756 ",,,,,,,,
NO,Aston-IV,101864,Software Developer,16,97.5,Good,10," 41,712 ",,,,,,,,
NO,Edward-IV,101867,Chief Data Scientist,6,58.5,Good,23," 231,714 ",,,,,,,,
YES,Marcus-IV,100600,Business Analyst,6,39,Good,12," 55,581 ",,,,,,,,
NO,Vivian-IV,101869,Business Analyst,16,39,Good,9," 66,181 ",,,,,,,,
NO,Joyce-IV,101870,Data Analyst,14,39,Bad,8," 56,253 ",,,,,,,,
NO,Briony-IV,101871,Data Analyst,8,39,Good,3," 45,977 ",,,,,,,,
NO,Antony-IV,101875,Software Developer,14,58.5,Good,2," 33,653 ",,,,,,,,
YES,James-IV,101117,Business Analyst,8,39,Good,12," 55,903 ",,,,,,,,
NO,Aston-IV,101878,Data Analyst,18,39,Good,2," 39,128 ",,,,,,,,
NO,Gianna-IV,101165,Domain Expert,10,58.5,Bad,12," 86,440 ",,,,,,,,
NO,Ada-IV,101881,Data Engineer,6,39,Good,9," 49,454 ",,,,,,,,
NO,Lucia-IV,101885,Data Analyst,16,39,Good,6," 50,479 ",,,,,,,,
NO,Vincent-IV,101756,Data Analyst,10,39,Best,12," 60,647 ",,,,,,,,
NO,Freddie-IV,100215,Data Engineer,6,39,Good,8," 54,935 ",,,,,,,,
NO,Alexia-IV,101890,Database Administrator,16,39,Bad,11," 45,788 ",,,,,,,,
NO,Julia-IV,101784,Data Scientist,8,58.5,Good,13," 64,429 ",,,,,,,,
NO,Brooke-IV,100291,Data Engineer,6,39,Good,10," 61,709 ",,,,,,,,
NO,Amber-IV,101905,Data Analyst,18,39,Good,6," 47,183 ",,,,,,,,
NO,Kelvin-IV,100436,Business Analyst,6,39,Bad,14," 61,602 ",,,,,,,,
NO,Miranda-IV,101294,Data Scientist,6,39,Bad,12," 63,746 ",,,,,,,,
NO,Vivian-IV,101909,Business Analyst,16,58.5,Good,6," 51,762 ",,,,,,,,
NO,Sabrina-IV,101911,Chief Data Scientist,8,58.5,Best,14," 157,280 ",,,,,,,,
NO,Kate,100004,Data Analyst,10,58.5,Good,1," 38,426 ",,,,,,,,
NO,Sabrina,100364,Data Scientist,6,97.5,Best,1," 41,065 ",,,,,,,,
NO,Lilianna,100005,Data Analyst,6,58.5,Good,9," 54,663 ",,,,,,,,
NO,Ada,100007,Data Engineer,6,58.5,Good,3," 49,950 ",,,,,,,,
NO,Nicole,100008,Data Engineer,8,39,Bad,8," 45,261 ",,,,,,,,
NO,Jenna,100010,Data Engineer,14,58.5,Bad,2," 45,532 ",,,,,,,,
NO,Fenton,100011,Data Engineer,16,39,Good,2," 42,385 ",,,,,,,,
NO,Abigail,100012,Data Scientist,16,39,Good,10," 63,207 ",,,,,,,,
YES,Adrianna,100405,Data Engineer,8,39,Good,1," 36,733 ",,,,,,,,
NO,Michelle,100015,Data Engineer,6,58.5,Good,10," 48,383 ",,,,,,,,
NO,Kevin,100614,Software Developer,6,58.5,Good,1," 22,128 ",,,,,,,,
NO,David,100618,Software Developer,12,97.5,Good,8," 50,738 ",,,,,,,,
NO,Melanie,100775,Data Scientist,8,58.5,Good,1," 60,341 ",,,,,,,,
YES,Rosie,101113,Business Analyst,8,78,Good,1," 55,711 ",,,,,,,,
NO,Nicholas,101156,Data Scientist,6,0.6,Good,1," 55,716 ",,,,,,,,
NO,April,101203,Data Analyst,6,97.5,Bad,3," 33,617 ",,,,,,,,
NO,Sam,100028,Chief Data Scientist,6,78,Good,13," 183,497 ",,,,,,,,
NO,Eric,100030,Data Analyst,8,117,Good,1," 42,151 ",,,,,,,,
YES,Freddie,101212,Business Analyst,6,39,Good,1," 50,985 ",,,,,,,,
NO,Andrew,100032,Data Architect,6,58.5,Bad,14," 104,200 ",,,,,,,,
NO,Samantha,100033,Data Analyst,16,97.5,Good,11," 48,249 ",,,,,,,,
NO,Emily,100035,Business Analyst,6,39,Good,10," 77,862 ",,,,,,,,
NO,Derek,101494,Software Developer,6,39,Bad,1," 37,376 ",,,,,,,,
YES,Edgar,101504,Data Engineer,6,39,Bad,1," 30,176 ",,,,,,,,
NO,Alan,101624,Software Developer,8,39,Best,2," 36,733 ",,,,,,,,
NO,Ryan,100046,Data Analyst,6,58.5,Bad,6," 45,851 ",,,,,,,,
NO,Abigail,101687,Data Engineer,14,97.5,Bad,1," 38,955 ",,,,,,,,
NO,Nicholas,100049,Software Developer,8,58.5,Good,3," 31,275 ",,,,,,,,
NO,Cherry,100051,Data Analyst,8,58.5,Best,2," 41,466 ",,,,,,,,
NO,Owen,100052,Business Analyst,14,58.5,Good,6," 68,403 ",,,,,,,,
NO,Olivia,100053,Data Engineer,6,58.5,Good,2," 49,997 ",,,,,,,,
NO,Antony,101734,Business Analyst,10,39,Bad,1," 45,819 ",,,,,,,,
NO,Carina,101853,Data Engineer,6,39,Good,1," 45,719 ",,,,,,,,
NO,Arnold,100058,Chief Data Scientist,6,0,Good,23," 146,098 ",,,,,,,,
NO,Adelaide,100060,Business Analyst,14,39,Good,10," 69,169 ",,,,,,,,
NO,Eric,100062,Business Analyst,16,78,Good,10," 71,648 ",,,,,,,,
NO,Luke,100063,Data Engineer,14,39,Good,2," 42,504 ",,,,,,,,
YES,Hailey,100022,Data Engineer,8,39,Bad,2," 61,062 ",,,,,,,,
NO,James,100042,Software Developer,8,117,Best,5," 43,529 ",,,,,,,,
NO,Aldus,100072,Business Analyst,14,39,Bad,3," 54,793 ",,,,,,,,
NO,Adele,100073,Chief Data Scientist,6,19.5,Good,16," 146,721 ",,,,,,,,
NO,Belinda,100075,Data Engineer,10,58.5,Good,3," 54,865 ",,,,,,,,
NO,Rubie,100076,Data Engineer,16,58.5,Bad,8," 51,623 ",,,,,,,,
NO,Max,100077,Data Scientist,12,39,Best,8," 77,606 ",,,,,,,,
YES,Paige,100055,Data Engineer,6,39,Bad,2," 40,760 ",,,,,,,,
NO,Lana,100080,Chief Data Scientist,6,39,Bad,28," 130,533 ",,,,,,,,
NO,Richard,100064,Data Architect,12,39,Good,2," 78,653 ",,,,,,,,
NO,Miranda,100083,Domain Expert,8,39,Good,18," 80,657 ",,,,,,,,
NO,Vanessa,100084,Data Architect,8,39,Good,6," 105,189 ",,,,,,,,
NO,April,100086,Data Scientist,12,39,Good,2," 75,744 ",,,,,,,,
NO,Charlotte,100224,Data Analyst,10,39,Bad,6," 44,283 ",,,,,,,,
NO,Nicholas,100094,Data Analyst,18,58.5,Good,6," 39,876 ",,,,,,,,
NO,Kirsten,100095,Data Analyst,12,78,Good,2," 54,476 ",,,,,,,,
NO,Kevin,100096,Data Scientist,12,58.5,Good,11," 58,765 ",,,,,,,,
NO,Jenna,100097,Data Engineer,6,58.5,Good,2," 49,550 ",,,,,,,,
NO,Daniel,100243,Data Scientist,16,58.5,Best,1," 56,561 ",,,,,,,,
NO,Eleanor,100101,Chief Data Scientist,8,58.5,Best,1," 140,406 ",,,,,,,,
NO,Miranda,100102,Chief Data Scientist,8,58.5,Best,6," 139,934 ",,,,,,,,
NO,Sawyer,100103,Database Administrator,16,39,Good,5," 67,507 ",,,,,,,,
NO,Kate,100104,Data Engineer,6,19.5,Bad,11," 61,298 ",,,,,,,,
NO,Fenton,100107,Data Analyst,6,58.5,Good,10," 44,012 ",,,,,,,,
YES,Roland,100261,Data Scientist,8,19.5,Good,2," 53,976 ",,,,,,,,
YES,Daisy,100334,Data Analyst,10,39,Bad,2," 44,283 ",,,,,,,,
NO,Mary,100113,Software Developer,8,58.5,Good,1," 53,957 ",,,,,,,,
NO,Stuart,100116,Data Engineer,18,78,Good,5," 38,462 ",,,,,,,,
NO,Grace,100117,Domain Expert,14,58.5,Good,12," 59,684 ",,,,,,,,
NO,Violet,100342,Data Analyst,12,97.5,Bad,5," 45,832 ",,,,,,,,
YES,Isabella,100392,Data Engineer,16,0,Bad,2," 37,246 ",,,,,,,,
NO,Luke,100125,Business Analyst,10,0,Good,12," 80,716 ",,,,,,,,
NO,Aiden,100126,Chief Data Scientist,6,78,Bad,5," 145,132 ",,,,,,,,
NO,Jared,100445,Domain Expert,10,58.5,Good,1," 61,719 ",,,,,,,,
NO,Honey,100485,Data Analyst,8,39,Bad,3," 33,593 ",,,,,,,,
NO,Belinda,100132,Data Engineer,6,58.5,Best,4," 43,257 ",,,,,,,,
NO,Patrick,100133,Database Administrator,16,58.5,Good,4," 42,668 ",,,,,,,,
NO,Rosie,100137,Data Engineer,12,97.5,Good,2," 65,222 ",,,,,,,,
NO,Fiona,100138,Data Analyst,8,58.5,Good,12," 58,965 ",,,,,,,,
NO,Deanna,100140,Data Architect,16,58.5,Good,4," 75,544 ",,,,,,,,
NO,Edith,100141,Chief Data Scientist,14,19.5,Bad,9," 150,905 ",,,,,,,,
NO,Clark,100144,Data Engineer,10,97.5,Good,1," 47,004 ",,,,,,,,
NO,Gianna,100147,Data Engineer,18,58.5,Good,10," 51,059 ",,,,,,,,
NO,Wilson,100148,Data Architect,6,58.5,Good,6," 105,438 ",,,,,,,,
NO,Sarah,100150,Data Engineer,6,39,Good,6," 46,734 ",,,,,,,,
NO,Alina,100151,Data Analyst,10,58.5,Good,2," 43,634 ",,,,,,,,
YES,Mary,100487,Data Scientist,8,39,Best,2," 61,955 ",,,,,,,,
NO,Kellan,100155,Data Engineer,16,39,Good,2," 37,460 ",,,,,,,,
NO,Albert,100159,Data Analyst,20,39,Bad,11," 41,279 ",,,,,,,,
NO,Tess,100494,Software Developer,10,0,Good,1," 32,002 ",,,,,,,,
NO,Alen,100622,Data Scientist,6,58.5,Bad,2," 67,535 ",,,,,,,,
NO,Amelia,100162,Chief Data Scientist,8,78,Good,21," 148,831 ",,,,,,,,
NO,Alexia,100684,Data Analyst,12,78,Bad,6," 52,545 ",,,,,,,,
NO,Joyce,100164,Data Analyst,14,58.5,Bad,6," 40,547 ",,,,,,,,
NO,Lucas,100169,Data Engineer,8,39,Good,3," 57,903 ",,,,,,,,
NO,Penelope,100171,Data Analyst,6,39,Good,4," 42,681 ",,,,,,,,
NO,Chester,100701,Data Analyst,6,97.5,Good,1," 31,889 ",,,,,,,,
NO,Alexia,100177,Database Administrator,18,58.5,Good,9," 61,226 ",,,,,,,,
NO,Rafael,100178,Data Scientist,14,0,Good,4," 70,760 ",,,,,,,,
NO,Tony,100771,Data Scientist,8,39,Good,1," 68,161 ",,,,,,,,
NO,Kellan,100182,Business Analyst,8,19.5,Best,13," 60,403 ",,,,,,,,
NO,Carlos,100183,Business Analyst,12,58.5,Good,3," 68,249 ",,,,,,,,
NO,Maya,100190,Data Engineer,16,39,Best,6," 57,291 ",,,,,,,,
YES,Chloe,100773,Data Analyst,8,0,Bad,2," 36,021 ",,,,,,,,
NO,Carlos,100193,Data Analyst,14,39,Good,4," 44,389 ",,,,,,,,
NO,Alfred,100195,Business Analyst,12,39,Best,9," 64,137 ",,,,,,,,
YES,Emma,100812,Data Engineer,6,78,Good,2," 31,744 ",,,,,,,,
YES,Tara,100816,Data Engineer,6,19.5,Good,2," 37,325 ",,,,,,,,
NO,Paige,100200,Data Engineer,16,39,Good,6," 40,406 ",,,,,,,,
NO,Aston,100201,Data Engineer,8,58.5,Good,2," 56,184 ",,,,,,,,
NO,Edward,100202,Data Analyst,6,39,Good,7," 43,434 ",,,,,,,,
NO,Marcus,100911,Software Developer,18,39,Bad,2," 32,934 ",,,,,,,,
NO,Vivian,100205,Software Developer,14,58.5,Bad,8," 41,796 ",,,,,,,,
NO,Joyce,100206,Data Engineer,12,39,Bad,9," 50,693 ",,,,,,,,
NO,Briony,100214,Data Analyst,14,58.5,Bad,2," 46,098 ",,,,,,,,
NO,Antony,100918,Data Analyst,8,58.5,Bad,2," 38,044 ",,,,,,,,
NO,James,100216,Software Developer,12,58.5,Good,5," 46,121 ",,,,,,,,
NO,Aston,100217,Data Analyst,18,117,Good,3," 43,953 ",,,,,,,,
YES,Gianna,100923,Data Analyst,14,58.5,Bad,2," 31,732 ",,,,,,,,
YES,Ada,100959,Software Developer,8,58.5,Best,2," 24,992 ",,,,,,,,
NO,Lucia,101016,Domain Expert,18,39,Good,2," 78,654 ",,,,,,,,
NO,Vincent,100227,Data Analyst,6,39,Good,10," 53,144 ",,,,,,,,
NO,Freddie,100228,Business Analyst,6,39,Good,11," 71,336 ",,,,,,,,
NO,Alexia,100230,Business Analyst,16,39,Best,9," 68,320 ",,,,,,,,
YES,Julia,101033,Domain Expert,10,39,Bad,2," 56,287 ",,,,,,,,
YES,Brooke,101052,Data Engineer,8,58.5,Bad,2," 56,960 ",,,,,,,,
YES,Amber,101079,Data Engineer,8,117,Bad,2," 36,684 ",,,,,,,,
NO,Kelvin,100240,Business Analyst,6,58.5,Best,6," 76,993 ",,,,,,,,
NO,Miranda,100242,Data Analyst,8,39,Best,4," 48,559 ",,,,,,,,
NO,Vivian,101107,Data Scientist,12,0,Best,2," 67,543 ",,,,,,,,
NO,Sabrina,100244,Business Analyst,20,39,Good,9," 51,848 ",,,,,,,,
NO,Chelsea,100245,Data Engineer,6,58.5,Good,3," 55,960 ",,,,,,,,
YES,Byron,101111,Data Engineer,10,39,Good,2," 30,589 ",,,,,,,,
YES,Hailey,101175,Data Engineer,6,78,Bad,2," 39,634 ",,,,,,,,
NO,Catherine,101180,Data Scientist,8,58.5,Good,4," 52,105 ",,,,,,,,
NO,Anna,100254,Chief Data Scientist,6,58.5,Good,25," 157,656 ",,,,,,,,
NO,Carl,100258,Domain Expert,12,78,Good,8," 57,080 ",,,,,,,,
NO,Sydney,101210,Data Analyst,12,39,Good,2," 34,828 ",,,,,,,,
NO,Myra,100260,Data Analyst,10,39,Bad,8," 59,024 ",,,,,,,,
NO,Patrick,101219,Data Analyst,12,58.5,Best,4," 36,041 ",,,,,,,,
NO,Paige,100264,Data Architect,18,19.5,Good,9," 81,270 ",,,,,,,,
NO,Cadie,101258,Software Developer,6,78,Bad,2," 36,272 ",,,,,,,,
YES,Lucy,101269,Data Analyst,6,39,Good,2," 35,278 ",,,,,,,,
NO,April,100270,Data Scientist,10,97.5,Good,6," 70,842 ",,,,,,,,
NO,Alisa,100271,Data Scientist,8,58.5,Good,2," 75,155 ",,,,,,,,
YES,Melissa,101273,Software Developer,8,78,Good,2," 23,173 ",,,,,,,,
YES,Darcy,101364,Software Developer,8,78,Good,2," 29,858 ",,,,,,,,
NO,Samantha,100286,Data Engineer,8,39,Good,9," 42,174 ",,,,,,,,
NO,Abigail,100287,Domain Expert,8,78,Bad,4," 81,776 ",,,,,,,,
NO,Owen,101379,Software Developer,10,58.5,Best,6," 43,529 ",,,,,,,,
YES,Lily,101427,Software Developer,6,58.5,Good,2," 26,014 ",,,,,,,,
NO,Kimberly,101433,Data Analyst,6,58.5,Best,2," 34,858 ",,,,,,,,
NO,Madaline,100298,Data Architect,12,58.5,Good,2," 72,551 ",,,,,,,,
NO,Charlie,101481,Business Analyst,8,78,Good,3," 61,731 ",,,,,,,,
YES,Max,101492,Software Developer,8,58.5,Good,2," 28,326 ",,,,,,,,
NO,Alisa,100304,Data Engineer,10,58.5,Best,12," 60,767 ",,,,,,,,
NO,Heather,100305,Data Analyst,16,58.5,Good,4," 37,696 ",,,,,,,,
NO,Abigail,100306,Chief Data Scientist,8,19.5,Good,11," 148,842 ",,,,,,,,
NO,Miley,100309,Data Analyst,12,117,Good,2," 59,837 ",,,,,,,,
NO,Madaline,100311,Software Developer,12,39,Good,10," 52,625 ",,,,,,,,
NO,Harold,101569,Data Analyst,12,39,Bad,2," 34,438 ",,,,,,,,
NO,Michael,101577,Data Analyst,6,78,Good,1," 35,019 ",,,,,,,,
YES,Aiden,101601,Data Engineer,12,97.5,Bad,2," 31,696 ",,,,,,,,
YES,Oliver,101692,Data Engineer,6,39,Good,2," 36,414 ",,,,,,,,
NO,Emily,100321,Database Administrator,12,39,Bad,3," 42,056 ",,,,,,,,
YES,Ryan,101731,Business Analyst,6,58.5,Bad,2," 58,656 ",,,,,,,,
NO,Samantha,100327,Data Architect,16,58.5,Good,10," 75,674 ",,,,,,,,
NO,Julian,100328,Data Engineer,14,58.5,Best,10," 41,832 ",,,,,,,,
NO,Adrian,100329,Data Architect,12,39,Best,10," 88,718 ",,,,,,,,
NO,Kellan,101761,Data Scientist,12,39,Best,2," 85,913 ",,,,,,,,
NO,Preston,101767,Data Architect,10,78,Best,2," 83,789 ",,,,,,,,
NO,Garry,100332,Data Engineer,8,19.5,Good,4," 63,254 ",,,,,,,,
NO,Maximilian,101780,Software Developer,8,58.5,Good,2," 31,568 ",,,,,,,,
NO,Wilson,101868,Data Analyst,18,58.5,Best,2," 48,739 ",,,,,,,,
NO,Maximilian,100337,Chief Data Scientist,6,58.5,Good,3," 146,910 ",,,,,,,,
YES,Frederick,101876,Software Developer,8,58.5,Bad,2," 26,537 ",,,,,,,,
YES,Adrian,100018,Data Engineer,6,39,Good,3," 39,794 ",,,,,,,,
NO,Lucy,100343,Domain Expert,20,19.5,Good,20," 57,963 ",,,,,,,,
NO,Tara,100038,Data Architect,6,39,Bad,3," 77,629 ",,,,,,,,
NO,Victoria,100352,Chief Data Scientist,14,78,Good,22," 141,360 ",,,,,,,,
NO,Amber,100065,Data Architect,10,58.5,Bad,2," 57,750 ",,,,,,,,
NO,Elise,100359,Data Engineer,14,58.5,Bad,6," 65,692 ",,,,,,,,
NO,Ned,100361,Business Analyst,12,0,Good,9," 61,849 ",,,,,,,,
YES,Richard,100174,Business Analyst,6,58.5,Good,3," 59,954 ",,,,,,,,
NO,Lucy,100366,Business Analyst,14,39,Good,1," 78,287 ",,,,,,,,
NO,Violet,100367,Domain Expert,16,39,Good,10," 65,774 ",,,,,,,,
NO,Rosie,100372,Domain Expert,8,39,Good,21," 159,024 ",,,,,,,,
YES,John,100218,Data Analyst,12,19.5,Bad,3," 44,730 ",,,,,,,,
NO,Sarah,100378,Business Analyst,8,97.5,Best,6," 76,613 ",,,,,,,,
NO,Alberta,100379,Data Analyst,12,78,Best,4," 38,059 ",,,,,,,,
NO,Florrie,100380,Chief Data Scientist,12,39,Good,6," 160,286 ",,,,,,,,
NO,Maria,100382,Business Analyst,18,58.5,Good,9," 66,044 ",,,,,,,,
NO,Richard,100384,Data Scientist,14,97.5,Bad,7," 75,377 ",,,,,,,,
NO,Alina,100385,Chief Data Scientist,8,78,Bad,11," 225,575 ",,,,,,,,
NO,Miley,100386,Chief Data Scientist,10,78,Bad,6," 207,193 ",,,,,,,,
NO,Belinda,100387,Business Analyst,20,58.5,Good,8," 57,819 ",,,,,,,,
NO,Dexter,100388,Business Analyst,12,58.5,Bad,11," 53,660 ",,,,,,,,
NO,Ned,100389,Data Engineer,14,78,Good,11," 63,806 ",,,,,,,,
NO,Steven,100316,Data Analyst,12,58.5,Best,6," 40,772 ",,,,,,,,
YES,Stuart,100338,Data Analyst,8,39,Bad,3," 47,582 ",,,,,,,,
NO,Evelyn,100393,Data Scientist,6,39,Good,3," 67,693 ",,,,,,,,
NO,Victoria,100399,Software Developer,6,97.5,Bad,3," 32,863 ",,,,,,,,
NO,James,100395,Data Analyst,16,58.5,Good,6," 39,002 ",,,,,,,,
NO,Wright,100396,Chief Data Scientist,6,78,Good,4," 219,931 ",,,,,,,,
NO,Hawkins,100397,Data Analyst,6,39,Good,9," 52,847 ",,,,,,,,
YES,Alexander,100475,Business Analyst,6,39,Best,3," 55,804 ",,,,,,,,
NO,Armstrong,100538,Data Scientist,12,97.5,Good,5," 67,424 ",,,,,,,,
YES,Perkins,100555,Software Developer,10,58.5,Bad,3," 27,702 ",,,,,,,,
NO,Tucker,100406,Business Analyst,10,58.5,Bad,12," 94,500 ",,,,,,,,
NO,Hunt,100407,Data Engineer,12,39,Good,2," 43,456 ",,,,,,,,
NO,Richardson,100408,Data Scientist,12,58.5,Good,5," 64,595 ",,,,,,,,
NO,Chapman,100412,Domain Expert,14,39,Good,9," 66,704 ",,,,,,,,
NO,Alexander,100416,Business Analyst,6,58.5,Bad,9," 81,645 ",,,,,,,,
NO,Johnston,100417,Domain Expert,12,78,Bad,19," 113,270 ",,,,,,,,
YES,Davis,100565,Data Analyst,10,39,Best,3," 40,000 ",,,,,,,,
NO,Barnes,100421,Chief Data Scientist,12,39,Good,11," 142,115 ",,,,,,,,
NO,Bennett,100593,Database Administrator,10,58.5,Good,4," 78,654 ",,,,,,,,
NO,Allen,100632,Database Administrator,8,58.5,Good,3," 67,543 ",,,,,,,,
NO,Alexander,100424,Database Administrator,6,19.5,Good,3," 75,530 ",,,,,,,,
NO,Jones,100425,Data Engineer,12,39,Good,12," 61,389 ",,,,,,,,
NO,Turner,100431,Domain Expert,6,39,Good,8," 164,539 ",,,,,,,,
YES,Mason,100720,Business Analyst,8,58.5,Good,3," 53,932 ",,,,,,,,
NO,Roberts,100732,Data Engineer,8,19.5,Good,2," 63,687 ",,,,,,,,
NO,Owens,100752,Data Architect,6,39,Bad,3," 72,981 ",,,,,,,,
NO,Ellis,100438,Business Analyst,6,58.5,Good,8," 88,927 ",,,,,,,,
NO,Barrett,100439,Data Analyst,10,0,Bad,8," 59,564 ",,,,,,,,
NO,Wilson,100766,Data Scientist,6,39,Best,2," 57,066 ",,,,,,,,
NO,Clark,100442,Data Scientist,18,39,Good,11," 105,375 ",,,,,,,,
NO,Morgan,100828,Data Analyst,12,58.5,Best,6," 51,634 ",,,,,,,,
YES,Carter,100922,Software Developer,8,58.5,Bad,3," 24,085 ",,,,,,,,
NO,Kelly,100447,Chief Data Scientist,6,39,Good,4," 215,631 ",,,,,,,,
NO,Cunningham,100448,Data Engineer,6,58.5,Best,10," 61,944 ",,,,,,,,
NO,Douglas,100449,Business Analyst,8,0,Good,6," 74,811 ",,,,,,,,
NO,Jones,100932,Domain Expert,16,39,Bad,3," 98,642 ",,,,,,,,
NO,Grant,100451,Domain Expert,10,19.5,Bad,2," 117,655 ",,,,,,,,
NO,Riley,100452,Data Analyst,8,58.5,Good,11," 43,562 ",,,,,,,,
NO,Montgomery,100453,Business Analyst,16,39,Bad,5," 87,866 ",,,,,,,,
NO,Cooper,101001,Data Scientist,8,39,Good,3," 65,423 ",,,,,,,,
NO,Stewart,100455,Data Engineer,12,39,Good,4," 46,932 ",,,,,,,,
NO,Myers,100456,Business Analyst,8,39,Good,11," 72,088 ",,,,,,,,
NO,Elliott,100458,Business Analyst,12,58.5,Good,9," 73,220 ",,,,,,,,
NO,Murphy,100460,Data Scientist,10,39,Bad,7," 74,788 ",,,,,,,,
NO,Hall,100461,Chief Data Scientist,8,58.5,Good,12," 135,624 ",,,,,,,,
NO,West,100462,Data Scientist,8,39,Bad,12," 84,166 ",,,,,,,,
NO,Casey,100463,Business Analyst,8,39,Good,8," 97,422 ",,,,,,,,
NO,Warren,100464,Data Scientist,8,97.5,Good,17," 95,384 ",,,,,,,,
NO,West,100466,Data Scientist,10,58.5,Good,6," 71,076 ",,,,,,,,
NO,Casey,100467,Software Developer,14,58.5,Good,1," 35,066 ",,,,,,,,
NO,Payne,100468,Chief Data Scientist,8,39,Good,2," 188,435 ",,,,,,,,
NO,Stevens,101025,Data Scientist,8,97.5,Good,3," 58,951 ",,,,,,,,
NO,Brown,100474,Data Scientist,8,39,Good,8," 70,392 ",,,,,,,,
YES,Hamilton,101037,Business Analyst,12,117,Good,3," 58,551 ",,,,,,,,
NO,Myers,100476,Business Analyst,12,58.5,Good,9," 62,404 ",,,,,,,,
NO,Morrison,100477,Domain Expert,18,78,Good,2," 79,901 ",,,,,,,,
YES,Cameron,101077,Software Developer,8,58.5,Good,3," 27,372 ",,,,,,,,
NO,Campbell,100479,Business Analyst,10,117,Good,2," 78,392 ",,,,,,,,
NO,Perkins,100482,Domain Expert,6,39,Good,4," 79,594 ",,,,,,,,
NO,Ross,100484,Software Developer,18,58.5,Bad,4," 30,753 ",,,,,,,,
NO,Adams,101108,Data Analyst,8,0,Bad,2," 37,254 ",,,,,,,,
NO,Stewart,100486,Data Engineer,14,58.5,Good,6," 40,676 ",,,,,,,,
YES,Nelson,101135,Software Developer,6,78,Good,3," 32,887 ",,,,,,,,
NO,Roberts,100491,Domain Expert,10,39,Good,5," 123,676 ",,,,,,,,
YES,Warren,101160,Data Engineer,6,97.5,Bad,2," 30,753 ",,,,,,,,
NO,Andrews,101198,Data Scientist,6,39,Good,3," 57,432 ",,,,,,,,
NO,Barrett,100496,Domain Expert,14,78,Good,2," 77,062 ",,,,,,,,
NO,Carter,100497,Data Engineer,6,39,Good,6," 44,965 ",,,,,,,,
